CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	MFACTOR
201310437676	5	81.438	1	5	3	2	3	0
201310437677	1	217.168	1	6	3	2	3	0
201310437677	2	217.168	1	6	3	2	3	0
201310437692	1	49.280305	1	3	6	2	3	0
201310437693	1	98.56061	1	5	6	2	3	0
201310437693	2	98.56061	1	5	6	2	3	0
201310437694	1	197.12122	1	6	6	2	3	0
201310437700	1	179.70652	1	6	10	2	3	0
201310437700	2	179.70652	1	6	10	2	3	0
201310437701	1	89.85326	1	5	10	2	3	0
201310437701	2	89.85326	1	5	10	2	3	0
201310437701	3	89.85326	1	5	10	2	3	0
201310437701	4	89.85326	1	5	10	2	3	0
201310437702	1	359.41304	1	4	10	2	3	0
201310437702	2	359.41304	1	4	10	2	3	0
201310437704	1	179.70652	1	6	10	2	3	0
201310437704	2	179.70652	1	6	10	2	3	0
201310437706	1	89.85326	1	5	10	2	3	0
201310437706	2	89.85326	1	5	10	2	3	0
201310437709	1	89.85326	1	3	10	2	3	0
201310437710	1	359.41304	1	4	10	2	3	0
201310437724	1	81.438	1	5	1	2	3	0
201310437724	2	81.438	1	5	1	2	3	0
201310437724	3	81.438	1	5	1	2	3	0
201310437726	1	27.146	1	1	1	2	3	0
201310437727	1	27.146	1	1	1	2	3	0
201310437727	2	27.146	1	1	1	2	3	0
201310437745	1	323.32026	1	4	4	2	3	0
201310437745	2	323.32026	1	4	4	2	3	0
201310437748	1	344.962135	1	4	6	2	3	0
201310437749	1	49.280305	1	1	6	2	3	0
201310437755	1	49.280305	1	2	6	2	3	0
201310437755	2	49.280305	1	2	6	2	3	0
201310437758	1	344.962135	1	4	6	2	3	0
201310437761	1	89.85326	1	5	10	2	3	0
201310437761	2	89.85326	1	5	10	2	3	0
201310437766	1	179.70652	1	6	10	2	3	0
201310437766	2	179.70652	1	6	10	2	3	0
201310437785	1	352.898	1	4	1	2	3	0
201310437788	1	217.168	1	6	1	2	3	0
201310437791	1	81.438	1	5	2	2	3	0
201310437791	2	81.438	1	5	2	2	3	0
201310437791	3	81.438	1	5	2	2	3	0
201310437798	1	53.88671	1	3	4	2	3	0
201310437803	1	197.12122	1	6	6	2	3	0
201310437806	1	49.280305	1	3	6	2	3	0
201310437812	1	344.962135	1	4	6	2	3	0
201310437812	2	344.962135	1	4	6	2	3	0
201310437814	1	49.280305	1	3	6	2	3	0
201310437816	1	197.12122	1	6	6	2	3	0
