MDRMANAV	REGION	STRATUM	CASENUM	WEIGHT	PJ	PSU	VEHNO
98	1	6	201010426920	115.047	9	2	1
98	1	6	201010426920	115.047	9	2	2
0	1	5	201010426921	57.524	9	2	1
98	1	5	201010426921	57.524	9	2	2
98	1	5	201010426921	57.524	9	2	3
98	1	5	201010426921	57.524	9	2	4
98	1	4	201010426925	287.619	9	2	1
98	1	4	201010426925	287.619	9	2	2
98	1	2	201010426926	57.524	9	2	1
0	1	2	201010426926	57.524	9	2	2
98	1	6	201010426927	115.047	9	2	1
98	1	6	201010426927	115.047	9	2	2
98	1	2	201010426930	57.524	9	2	1
98	1	2	201010426930	57.524	9	2	2
98	1	2	201010426930	57.524	9	2	3
98	1	6	201010426932	115.047	9	2	1
98	1	6	201010426936	115.047	9	2	1
98	1	6	201010426936	115.047	9	2	2
98	1	4	201010426937	287.619	9	2	1
98	1	4	201010426937	287.619	9	2	2
0	1	6	201010426939	115.047	9	2	1
0	1	6	201010426939	115.047	9	2	2
4	1	5	201010426940	49.28	6	2	1
98	1	5	201010426940	49.28	6	2	2
98	1	1	201010426941	49.28	6	2	1
0	1	4	201010426946	298.606	1	2	1
98	1	4	201010426946	298.606	1	2	2
98	1	1	201010426951	27.146	1	2	1
0	1	4	201010426953	298.606	3	2	1
0	1	4	201010426953	298.606	3	2	2
4	1	6	201010426954	135.73	3	2	1
98	1	5	201010426957	54.292	2	2	1
98	1	6	201010426961	147.841	6	2	1
0	1	6	201010426962	89.853	10	2	1
0	1	6	201010426962	89.853	10	2	2
98	1	6	201010426965	107.773	4	2	1
4	1	1	201010426966	49.28	6	2	1
4	1	1	201010426966	49.28	6	2	2
98	1	6	201010426969	147.841	6	2	1
0	1	6	201010426969	147.841	6	2	2
98	1	6	201010426975	107.773	4	2	1
4	1	6	201010426975	107.773	4	2	2
98	1	5	201010426978	53.887	4	2	1
0	1	5	201010426978	53.887	4	2	2
98	1	6	201010426979	107.773	4	2	1
4	1	6	201010426979	107.773	4	2	2
98	1	4	201010426983	269.434	4	2	1
98	1	4	201010426983	269.434	4	2	2
0	1	5	201010426984	53.887	4	2	1
0	1	5	201010426984	53.887	4	2	2
98	1	6	201010427004	135.73	2	2	1
98	1	2	201010427008	27.146	1	2	1
98	1	2	201010427008	27.146	1	2	2
0	1	4	201010427022	298.606	3	2	1
0	1	6	201010427023	147.841	6	2	1
0	1	6	201010427023	147.841	6	2	2
0	1	6	201010427024	89.853	10	2	1
99	1	6	201010427024	89.853	10	2	2
0	1	4	201010427025	269.56	10	2	1
0	1	4	201010427025	269.56	10	2	2
98	1	6	201010427028	107.773	4	2	1
98	1	4	201010427033	295.682	6	2	1
98	1	6	201010427036	147.841	6	2	1
98	1	6	201010427036	147.841	6	2	2
0	1	6	201010427036	147.841	6	2	3
99	1	3	201010427040	49.28	6	2	1
98	1	6	201010427044	115.047	9	2	1
0	1	6	201010427044	115.047	9	2	2
98	1	6	201010427046	115.047	9	2	1
98	1	4	201010427050	287.619	9	2	1
0	1	5	201010427052	57.524	9	2	1
98	1	6	201010427053	115.047	9	2	1
98	1	6	201010427057	115.047	9	2	1
0	1	6	201010427057	115.047	9	2	2
3	1	4	201010427060	287.619	9	2	1
98	1	1	201010427061	57.524	9	2	1
98	1	1	201010427062	57.524	9	2	1
98	1	1	201010427062	57.524	9	2	2
98	1	1	201010427063	49.28	6	2	1
98	1	1	201010427064	27.146	1	2	1
98	1	1	201010427064	27.146	1	2	2
0	1	1	201010427064	27.146	1	2	3
0	1	4	201010427067	269.56	10	2	1
98	1	4	201010427067	269.56	10	2	2
0	1	5	201010427070	89.853	10	2	1
0	1	5	201010427070	89.853	10	2	2
98	1	5	201010427071	54.292	1	2	1
98	1	6	201010427078	107.773	4	2	1
0	1	6	201010427078	107.773	4	2	2
98	1	5	201010427079	54.292	3	2	1
0	1	5	201010427079	54.292	3	2	2
98	1	6	201010427086	107.773	4	2	1
0	1	6	201010427086	107.773	4	2	2
0	1	4	201010427090	269.434	4	2	1
0	1	4	201010427090	269.434	4	2	2
98	1	5	201010427096	49.28	6	2	1
98	1	6	201010427098	147.841	6	2	1
98	1	4	201010427102	295.682	6	2	1
98	1	4	201010427102	295.682	6	2	2
98	1	6	201010427105	135.73	1	2	1
0	1	6	201010427105	135.73	1	2	2
98	1	4	201010427109	298.606	1	2	1
0	1	4	201010427118	269.56	10	2	1
0	1	4	201010427118	269.56	10	2	2
98	1	6	201010427119	135.73	3	2	1
0	1	4	201010427125	298.606	3	2	1
98	1	4	201010427125	298.606	3	2	2
3	1	5	201010427127	49.28	6	2	1
98	1	6	201010427128	147.841	6	2	1
99	1	3	201010427129	49.28	6	2	1
98	1	6	201010427133	147.841	6	2	1
98	1	4	201010427147	298.606	2	2	1
0	1	4	201010427147	298.606	2	2	2
0	1	6	201010427149	135.73	2	2	1
98	1	3	201010427151	27.146	1	2	1
98	1	2	201010427153	27.146	1	2	1
98	1	1	201010427167	49.28	6	2	1
98	1	4	201010427169	269.56	10	2	1
98	1	4	201010427169	269.56	10	2	2
98	1	6	201010427170	89.853	10	2	1
0	1	6	201010427171	89.853	10	2	1
98	1	3	201010427175	53.887	4	2	1
3	1	5	201010427176	49.28	6	2	1
98	1	6	201010427179	107.773	4	2	1
98	1	6	201010427179	107.773	4	2	2
0	1	6	201010427183	147.841	6	2	1
0	1	6	201010427183	147.841	6	2	2
98	1	4	201010427184	295.682	6	2	1
98	1	4	201010427184	295.682	6	2	2
3	1	5	201010427193	49.28	6	2	1
0	1	2	201010427197	49.28	6	2	1
99	1	2	201010427197	49.28	6	2	2
0	1	2	201010427204	27.146	1	2	1
0	1	2	201010427204	27.146	1	2	2
0	1	5	201010427224	89.853	10	2	1
98	1	5	201010427224	89.853	10	2	2
4	1	5	201010427224	89.853	10	2	3
0	1	5	201010427224	89.853	10	2	4
3	1	6	201010427227	89.853	10	2	1
0	1	6	201010427228	89.853	10	2	1
98	1	6	201010427228	89.853	10	2	2
0	1	4	201010427229	269.56	10	2	1
98	1	4	201010427229	269.56	10	2	2
98	1	6	201010427233	135.73	1	2	1
98	1	4	201010427238	298.606	1	2	1
0	1	3	201010427239	53.887	4	2	1
98	1	3	201010427239	53.887	4	2	2
98	1	3	201010427245	27.146	1	2	1
99	1	4	201010427248	269.434	4	2	1
98	1	6	201010427250	107.773	4	2	1
98	1	6	201010427250	107.773	4	2	2
98	1	4	201010427252	298.606	3	2	1
0	1	4	201010427252	298.606	3	2	2
98	1	6	201010427259	135.73	2	2	1
98	1	5	201010427264	54.292	2	2	1
0	1	4	201010427270	287.619	9	2	1
0	1	4	201010427270	287.619	9	2	2
98	1	1	201010427271	57.524	9	2	1
98	1	1	201010427271	57.524	9	2	2
98	1	6	201010427272	115.047	9	2	1
98	1	1	201010427274	57.524	9	2	1
98	1	1	201010427274	57.524	9	2	2
98	1	6	201010427275	115.047	9	2	1
0	1	6	201010427275	115.047	9	2	2
3	1	6	201010427281	115.047	9	2	1
98	1	5	201010427282	57.524	9	2	1
0	1	4	201010427284	287.619	9	2	1
98	1	6	201010427318	89.853	10	2	1
98	1	6	201010427321	135.73	1	2	1
98	1	6	201010427321	135.73	1	2	2
0	1	4	201010427323	298.606	1	2	1
0	1	4	201010427323	298.606	1	2	2
98	1	5	201010427326	89.853	10	2	1
98	1	5	201010427326	89.853	10	2	2
98	1	5	201010427328	54.292	1	2	1
0	1	5	201010427328	54.292	1	2	2
98	1	4	201010427329	269.56	10	2	1
98	1	4	201010427329	269.56	10	2	2
98	1	6	201010427330	89.853	10	2	1
98	1	6	201010427330	89.853	10	2	2
98	1	5	201010427332	89.853	10	2	1
98	1	5	201010427332	89.853	10	2	2
3	1	6	201010427334	89.853	10	2	1
98	1	6	201010427337	135.73	3	2	1
98	1	6	201010427337	135.73	3	2	2
0	1	4	201010427341	269.56	10	2	1
98	1	3	201010427348	27.146	3	2	1
