REGION	STRATUM	PMAKE	PBODYTYP	PSP_USE	PEM_USE	PTRAILER	PFIRE	PVEH_SEV	PTOWED	PROLLOVR	PCARGTYP	PHAZPLAC	PHAZ_REL	PTYPE	PROLINLOC	PHAZ_INV	PHAZ_CNO	PIMPACT2	PV_CONFIG	PVIN	PMODELYR	CASENUM	WEIGHT	PCARIDNO	PHAZ_ID	PIMPACT1	PJ	PMODEL	PNUMOCCS	POCCINVL	PREL_RWY	PSU	PVEHNO
1	4	2	14	77	0	0	0	7	1	0	0	0	0	1	0	1	0	32	0	1J4GL48K17W5	2007	201010793984	291.467	000000000	0	32	21	405	1	1	7	3	1
1	4	58	6	0	0	0	0	7	1	0	0	0	0	1	0	1	0	29	0	JNRAS08W06X2	2006	201010794049	292.99	000000000	0	29	8	39	1	1	7	3	1
1	4	37	4	77	0	0	0	7	1	0	0	0	0	1	0	1	0	32	0	1HGFA16807L0	2007	201010794156	296.785	000000000	0	32	16	399	1	1	7	3	1
1	4	19	15	0	0	0	0	2	1	0	0	0	0	1	0	1	0	24	0	3GYEK63N32G2	2002	201010794283	294.566	000000000	0	25	3	421	0	0	7	3	1
1	4	59	4	77	0	0	0	7	1	0	0	0	0	1	0	1	0	31	0	JTHBK1EG2A23	2010	201010794342	295.16	000000000	0	31	13	31	0	0	6	3	1
1	2	37	2	77	0	0	0	7	1	0	0	0	0	1	0	1	0	32	0	1HGCS22819A0	2009	201010794361	4.974	000000000	0	32	4	32	0	0	7	3	1
1	2	54	3	0	0	0	0	7	1	0	0	0	0	1	0	1	0	29	0	JH4DC4453SS0	1995	201010794361	4.974	000000000	0	29	4	31	0	0	7	3	2
1	2	37	5	0	0	0	0	7	1	0	0	0	0	1	0	1	0	26	0	JHMGD38498S0	2008	201010794361	4.974	000000000	0	26	4	39	0	0	7	3	3
1	3	35	14	0	0	0	0	7	1	0	0	0	0	1	0	1	0	26	0	5N1AR1NBXAC6	2010	201010794538	19.864	000000000	0	26	8	401	0	0	7	3	1
1	6	35	4	0	0	0	0	7	1	0	0	0	0	1	0	1	0	27	0	1N4BU31D1RC1	1994	201010794599	131.443	000000000	0	27	7	47	0	0	7	3	1
1	3	20	29	77	0	0	0	7	1	0	0	0	0	1	0	1	0	26	0	999999999999	2002	201010794743	14.573	000000000	0	26	21	499	0	0	7	3	1
1	3	37	4	77	0	0	0	7	1	0	0	0	0	1	0	1	0	29	0	999999999999	1992	201010794743	14.573	000000000	0	29	21	399	0	0	5	3	2
1	4	9	4	0	0	0	0	7	4	0	0	0	0	1	0	1	0	27	0	1P3EJ46C0XN6	1999	201010795195	293.494	000000000	0	27	4	38	0	0	5	3	1
1	4	7	31	0	0	0	0	7	4	0	0	0	0	1	0	1	0	29	0	1B7HF13Z3YJ1	2000	201010795195	293.494	000000000	0	29	4	482	0	0	5	3	2
1	4	49	14	0	0	0	0	7	1	0	0	0	0	1	0	1	0	30	0	2T3BF4DV8AW0	2010	201010795221	295.16	000000000	0	30	13	402	0	0	7	3	1
1	6	41	4	77	0	0	0	7	1	0	0	0	0	1	0	1	0	29	0	JM1BJ2220X01	1999	201010795253	132.822	000000000	0	27	13	35	0	0	7	3	1
1	5	20	4	0	0	0	0	7	1	0	0	0	0	1	0	1	0	32	0	1G1ZC5EB1AF1	2010	201010795305	57.288	000000000	0	32	1	37	0	0	5	3	1
1	2	6	6	77	0	0	0	7	4	0	0	0	0	1	0	1	0	27	0	2A8GF68X77R2	2007	201010795407	5.056	000000000	0	27	7	54	0	0	7	3	1
1	2	55	20	77	0	0	0	7	4	0	0	0	0	1	0	1	0	26	0	KNDMC2330860	2008	201010795407	5.056	000000000	0	26	7	441	0	0	7	3	2
1	2	30	4	77	0	0	0	7	4	0	0	0	0	1	0	1	0	27	0	3VWRG71K55M6	2005	201010795407	5.056	000000000	0	27	7	40	0	0	7	3	3
1	4	49	14	77	0	0	0	7	1	0	0	0	0	1	0	1	0	32	0	JTMBF33V4950	2009	201010795462	295.16	000000000	0	32	13	402	0	0	7	3	1
1	3	21	4	77	0	0	0	7	1	0	0	0	0	1	0	1	0	33	0	1G3HY52K3T48	1996	201010795517	14.573	000000000	0	33	21	2	0	0	7	3	1
1	5	42	14	0	0	0	0	7	4	0	0	0	0	1	0	1	0	23	0	4JGAB72E9XA1	1999	201010795528	58.293	000000000	0	26	21	401	0	0	7	3	1
1	5	58	4	0	0	0	0	7	4	0	0	0	0	1	0	1	0	26	0	JNKCA31A41T0	2001	201010795528	58.293	000000000	0	26	21	35	0	0	7	3	2
1	4	54	15	0	0	0	0	7	4	0	0	0	0	1	0	1	0	97	0	2HNYD18935H5	2005	201010795884	293.219	000000000	0	97	7	421	0	0	7	3	1
1	4	52	14	77	0	0	0	7	1	0	0	0	0	1	0	1	0	30	0	JA4NW51S23J0	2003	201010796476	293.914	000000000	0	30	1	401	0	0	7	3	1
1	4	22	4	77	0	0	0	7	1	0	0	0	0	1	0	1	0	29	0	1G2ZF55B4641	2006	201010796835	294.566	000000000	0	62	3	22	0	0	7	3	1
1	4	35	4	77	0	0	0	7	1	0	0	0	0	1	0	1	0	29	0	JN1CA21AXXT7	1999	201010796926	293.494	000000000	0	29	4	39	1	1	7	3	1
1	5	34	4	77	0	0	0	7	1	0	0	0	0	1	0	1	0	26	0	999999999999	9999	201010796968	55.611	000000000	0	26	7	399	0	0	6	3	1
1	5	37	49	77	0	0	0	7	1	0	0	0	0	1	0	1	0	26	0	999999999999	2008	201010796968	55.611	000000000	0	26	7	999	0	0	6	3	2
1	4	42	4	77	0	0	0	7	1	0	0	0	0	1	0	1	0	32	0	WDDGF81X49R0	2009	201010797135	293.219	000000000	0	32	7	42	0	0	97	3	1
1	4	20	20	77	0	0	0	7	1	0	0	0	0	1	0	1	0	30	0	1GNDU03E5XD2	1999	201010797317	295.16	000000000	0	30	13	442	0	0	7	3	1
1	6	2	14	77	0	0	0	7	2	0	0	0	0	1	0	1	0	26	0	1J8GR48K57C6	2007	201010797425	131.443	000000000	0	26	7	404	0	0	7	3	1
1	6	37	14	77	0	0	0	7	1	0	0	0	0	1	0	1	0	26	0	5J6RE48529L0	2009	201010797425	131.443	000000000	0	26	7	402	0	0	7	3	2
1	2	82	68	77	0	0	0	7	2	0	98	0	0	1	0	1	0	26	1	4GDM8C1Y0JV7	1988	201010797512	4.974	999999999	0	26	4	881	2	2	7	3	1
1	1	12	20	77	0	0	0	7	1	0	0	0	0	1	0	1	0	26	0	2FMZA50491BB	2001	201010797804	7.379	000000000	0	26	13	442	0	0	7	3	1
1	4	35	20	77	0	0	0	7	1	0	0	0	0	1	0	1	0	26	0	5N1BV28U26N1	2006	201010797930	293.494	000000000	0	26	4	443	0	0	7	3	1
1	4	35	4	77	0	0	0	7	1	0	0	0	0	1	0	1	0	32	0	3N1AB51D22L7	2002	201010798072	293.219	000000000	0	32	7	43	0	0	7	3	1
1	2	18	4	77	0	0	0	7	4	0	0	0	0	1	0	1	0	27	0	2G4WD5829612	2006	201010798162	2.491	000000000	0	27	1	22	0	0	7	3	1
1	2	48	14	77	0	0	0	7	4	0	0	0	0	1	0	1	0	26	0	JF2SH6CC1AH7	2010	201010798162	2.491	000000000	0	26	1	401	0	0	7	3	2
1	5	35	49	77	0	0	0	7	2	0	0	0	0	1	0	1	0	27	0	888888888888	9999	201010798625	55.611	000000000	0	27	7	999	0	0	7	3	1
1	5	2	49	77	0	0	0	7	4	0	0	0	0	1	0	1	0	23	0	888888888888	1996	201010798625	55.611	000000000	0	23	7	999	0	0	7	3	2
1	6	54	4	77	0	0	0	7	2	0	0	0	0	1	0	1	0	32	0	19UUA56633A0	2003	201010798667	129.114	000000000	0	31	8	35	0	0	7	3	1
1	6	49	4	77	0	0	0	7	4	0	0	0	0	1	0	1	0	26	0	4T1BK46K59U0	2009	201010798667	129.114	000000000	0	26	8	40	0	0	7	3	2
1	4	37	20	77	0	0	0	7	1	0	0	0	0	1	0	1	0	27	0	2HKRL18661H5	2001	201010798757	296.564	000000000	0	32	10	441	0	0	7	3	1
1	4	59	4	77	0	0	0	7	1	0	0	0	0	1	0	1	0	29	0	JT8BF28G0102	2001	201010798854	292.99	000000000	0	29	8	31	3	3	7	3	1
1	5	20	9	77	0	0	0	7	4	0	0	0	0	1	0	1	0	26	0	888888888888	2002	201010799023	59.591	000000000	0	26	8	399	0	0	7	3	1
1	4	82	63	77	0	1	0	7	4	0	98	0	0	2	0	1	0	26	4	1FV3HFAA6XHA	1999	201010799072	293.494	999999999	0	26	4	881	1	1	1	3	1
1	4	59	14	0	0	0	0	7	4	0	0	0	0	1	0	1	0	30	0	JTJBM7FX8A50	2010	201010799242	295.16	000000000	0	30	13	402	1	1	7	3	1
1	4	52	4	77	0	0	0	7	4	0	0	0	0	1	0	1	0	25	0	4A3AA46G61E0	2001	201010799474	296.785	000000000	0	25	16	34	0	0	7	3	1
1	4	12	58	3	0	0	0	7	1	0	22	0	0	1	0	1	0	26	20	1FDSE35L75HA	2005	201010799540	294.566	999999999	0	26	3	988	3	3	7	3	1
1	4	34	4	0	0	0	0	7	1	0	0	0	0	1	0	1	0	32	0	WBADD6320VBW	1997	201010799676	291.467	000000000	0	32	21	35	0	0	7	3	1
1	4	35	14	0	0	0	0	7	4	0	0	0	0	1	0	1	0	26	0	5N1AR18WX6C6	2006	201011170274	298.504	000000000	0	26	6	401	0	0	7	4	1
1	5	6	1	0	0	0	0	7	4	0	0	0	0	1	0	1	0	27	0	3C3EL55HXTT3	1996	201011170296	54.273	000000000	0	27	6	43	0	0	7	4	1
1	4	49	4	0	0	0	0	7	4	0	0	0	0	1	0	1	0	26	0	2T1AE04B2SC1	1995	201011170338	243.187	000000000	0	26	17	32	0	0	5	4	1
1	4	49	4	0	0	0	0	7	4	0	0	0	0	1	0	1	0	27	0	4T1BE46K79U2	2009	201011170435	300.07	000000000	0	27	2	40	0	0	7	4	1
1	4	12	63	0	0	0	0	7	1	0	4	0	0	2	0	1	0	26	0	1FDYK84A9KVA	1989	201011170571	305.288	999999999	0	26	7	881	1	1	1	4	1
1	5	2	14	0	0	0	0	7	2	0	0	0	0	1	0	1	0	61	0	1J4FJ88S6NL2	1992	201011170782	54.273	000000000	0	61	6	404	0	0	7	4	1
1	4	20	30	0	0	0	0	7	1	0	0	0	0	2	0	1	0	25	0	1GCCS1992981	2009	201011171332	300.07	000000000	0	25	3	473	0	0	1	4	1
1	6	12	31	0	0	0	0	7	4	0	0	0	0	1	0	1	0	29	0	1FTRX18L33NA	2003	201011171438	118.723	000000000	0	29	11	481	0	0	7	4	1
1	1	37	4	0	0	0	0	7	4	0	0	0	0	1	0	1	0	24	0	JHMCG6695YC0	2000	201011171503	27.137	000000000	0	24	6	32	0	0	5	4	1
1	4	49	5	0	0	0	0	7	1	0	0	0	0	1	0	1	0	24	0	JTKKT6242501	2005	201011171612	298.504	000000000	0	22	6	48	0	0	7	4	1
1	4	37	4	0	0	0	0	7	1	0	0	0	0	1	0	1	0	30	0	1HGCM66543A0	2003	201011171858	300.07	000000000	0	30	1	32	0	0	7	4	1
1	2	82	62	0	0	0	0	7	1	0	1	0	0	1	0	1	0	26	1	1FVACWCS36HW	2006	201011172177	13.047	710150	0	26	1	881	0	0	7	4	1
1	6	59	4	0	0	0	0	6	2	0	0	0	0	1	0	1	0	31	0	JT8GK13T3S01	1995	201011172266	121.593	000000000	0	31	17	31	0	0	7	4	1
1	4	12	4	0	0	0	0	7	1	0	0	0	0	1	0	1	0	29	0	1FAFP34NX5W1	2005	201011172268	243.187	000000000	0	29	17	37	0	0	7	4	1
