REGION	STRATUM	CASENUM	WEIGHT	EVENTNUM	PGAD	PVEHNO	PJ	PSU
3	4	201016144533	293.316	1	31	1	1	43
3	2	201016146015	12.222	2	61	1	2	43
3	4	201016146274	293.316	1	81	1	1	43
3	3	201016146643	12.222	3	26	1	3	43
3	1	201016147289	12.222	5	26	1	2	43
3	3	201016147588	12.222	3	26	1	1	43
3	3	201016147588	12.222	4	26	2	1	43
3	3	201016147588	12.222	5	26	3	1	43
3	3	201016148584	12.222	1	26	1	1	43
3	2	201016148902	12.222	3	26	1	1	43
3	1	201016149149	41.417	4	61	1	6	43
3	4	201016149470	293.316	1	61	1	1	43
3	4	201016151605	293.316	1	81	1	3	43
3	5	201016152635	61.108	13	61	1	2	43
3	2	201016154141	12.222	1	26	1	1	43
3	4	201016154411	293.316	1	26	1	3	43
3	4	201016154411	293.316	2	26	2	3	43
3	1	201016556269	10.106	3	26	1	1	45
3	1	201016556709	10.106	2	26	1	1	45
3	4	201016556731	293.08	1	32	1	1	45
3	1	201016556981	10.106	6	26	1	2	45
3	3	201016557272	20.212	4	83	1	1	45
3	1	201016557321	10.106	4	32	1	3	45
3	4	201016557911	293.08	2	25	1	2	45
3	2	201016558716	10.106	4	23	1	3	45
3	2	201016558716	10.106	5	23	2	3	45
3	3	201016558834	20.212	4	62	1	1	45
3	6	201016558948	131.381	2	63	1	1	45
3	4	201016559605	293.08	1	83	1	1	45
3	4	201016559652	293.08	1	23	1	1	45
3	4	201016559695	293.08	2	26	1	1	45
3	4	201016560059	293.08	2	21	1	1	45
3	1	201016560164	10.106	6	26	1	1	45
3	1	201016560425	10.106	3	26	1	1	45
3	4	201016560796	293.08	2	26	1	1	45
3	4	201016561127	293.08	2	32	1	1	45
3	3	201016561353	20.212	4	32	1	1	45
3	3	201016561353	20.212	5	32	2	1	45
3	3	201016561353	20.212	6	26	3	1	45
3	3	201016561353	20.212	7	32	4	1	45
3	2	201016563213	10.106	1	26	1	1	45
3	5	201016563373	60.637	3	62	1	1	45
3	1	201016563844	10.106	2	61	1	2	45
3	5	201016564576	60.637	2	99	1	1	45
3	1	201016564695	10.106	4	81	1	3	45
3	1	201016564695	10.106	5	63	2	3	45
3	5	201016565225	60.637	2	61	1	1	45
3	4	201016565273	293.08	2	26	1	2	45
3	3	201016565537	20.212	2	23	1	1	45
3	6	201016565632	131.381	2	26	1	1	45
3	2	201016567490	10.106	2	29	1	1	45
3	4	201016567642	293.08	2	25	1	1	45
3	5	201016568400	60.637	4	32	1	2	45
3	1	201016569259	10.106	3	32	1	1	45
3	6	201017261477	155.892	2	63	1	1	48
3	6	201017261477	155.892	6	81	2	1	48
3	6	201017261477	155.892	7	81	3	1	48
3	4	201017261813	311.784	1	27	1	1	48
3	4	201017261911	311.784	1	28	1	3	48
3	4	201017262082	311.784	2	27	1	4	48
3	4	201017262082	311.784	3	27	2	4	48
3	4	201017262098	311.784	1	32	1	3	48
3	5	201017262312	51.964	2	32	1	3	48
3	4	201017262464	311.784	1	32	1	4	48
3	4	201017262499	311.784	2	26	1	1	48
3	4	201017262766	311.784	1	31	1	4	48
3	4	201017262798	311.784	2	27	1	1	48
3	4	201017262870	311.784	1	24	1	3	48
3	4	201017263163	311.784	1	22	1	1	48
3	5	201017263291	51.964	2	97	1	1	48
3	4	201017263337	311.784	1	26	1	1	48
3	3	201017263651	51.964	2	26	1	1	48
3	4	201017264462	311.784	3	26	1	1	48
3	4	201017264462	311.784	4	24	2	1	48
3	4	201017264873	311.784	2	26	1	1	48
3	3	201017265450	51.964	2	24	1	1	48
3	4	201017265976	311.784	2	32	1	1	48
3	6	201017266744	155.892	2	27	1	1	48
3	4	201017266792	311.784	2	28	1	1	48
3	5	201017266865	51.964	3	27	1	1	48
3	5	201017266865	51.964	4	27	2	1	48
3	4	201017267161	311.784	1	32	1	1	48
3	1	201017267304	51.964	2	26	1	1	48
3	4	201017267444	311.784	2	28	1	1	48
1	5	201017502604	58.104	3	30	1	14	6
1	4	201017502636	294.542	1	29	1	5	6
1	2	201017502905	11.621	1	32	1	14	6
1	2	201017502955	2.763	3	26	1	1	6
1	3	201017503396	14.82	2	29	1	20	6
1	6	201017503479	127.828	2	97	1	14	6
1	1	201017503493	5.746	2	23	1	4	6
1	1	201017503493	5.746	3	26	2	4	6
1	3	201017503519	20.242	2	99	1	26	6
1	5	201017503553	58.104	3	29	1	14	6
1	3	201017503657	23.242	2	97	1	14	6
1	1	201017503686	5.454	1	29	1	5	6
1	6	201017503699	121.455	1	27	1	26	6
1	6	201017503699	121.455	3	63	2	26	6
1	3	201017504074	23.242	3	32	1	14	6
1	3	201017504074	23.242	4	32	2	14	6
1	3	201017504219	14.82	2	83	1	20	6
1	5	201017504344	60.727	2	23	1	26	6
1	5	201017504344	60.727	3	83	2	26	6
1	2	201017504346	20.242	2	26	1	26	6
1	3	201017504414	20.242	2	26	1	26	6
1	5	201017504419	60.727	2	26	1	26	6
1	5	201017504419	60.727	5	26	2	26	6
1	5	201017504435	59.999	2	26	1	5	6
1	5	201017504435	59.999	3	32	2	5	6
1	6	201017504454	127.828	2	26	1	14	6
1	6	201017504454	127.828	3	26	2	14	6
1	2	201017504748	2.763	2	99	1	1	6
1	2	201017504748	2.763	3	99	2	1	6
1	6	201017504900	127.828	2	31	1	14	6
1	4	201017504946	303.637	2	25	1	26	6
1	3	201017504987	14.82	1	97	1	20	6
1	3	201017505044	17.238	1	22	1	4	6
1	3	201017505044	17.238	3	26	2	4	6
1	3	201017505094	16.463	2	21	1	7	6
1	6	201017505117	121.455	3	27	1	26	6
1	2	201017505413	11.621	3	27	1	14	6
1	1	201017505458	2.763	4	26	1	2	6
1	5	201017505519	57.46	2	29	1	4	6
1	5	201017505519	57.46	5	29	2	4	6
1	5	201017505519	57.46	6	97	3	4	6
3	3	201017638593	15.641	2	23	1	1	49
3	6	201017638618	130.345	3	26	1	1	49
3	6	201017638942	130.345	2	32	1	1	49
3	2	201017639149	5.214	2	26	1	1	49
3	1	201017639366	5.214	6	81	1	1	49
3	6	201017640858	130.345	2	32	1	1	49
3	6	201017640858	130.345	3	32	2	1	49
3	2	201017640954	5.214	2	26	1	1	49
3	3	201017641182	15.641	2	83	1	1	49
3	3	201017641182	15.641	5	63	2	1	49
3	4	201017641822	297.187	3	83	1	1	49
3	6	201017642478	130.345	2	63	1	1	49
3	2	201017642992	5.214	1	26	1	1	49
3	1	201017643161	5.214	2	63	1	1	49
3	3	201017643216	15.641	2	32	1	1	49
3	4	201017643540	297.187	2	61	1	1	49
3	2	201017643749	2.607	2	26	1	3	49
3	1	201017644430	5.214	7	23	1	1	49
3	6	201017645376	130.345	2	62	1	1	49
3	1	201017645614	5.214	2	34	1	1	49
3	4	201017646220	297.187	2	63	1	1	49
3	5	201017646406	57.352	2	32	1	1	49
3	4	201017646512	297.187	1	26	1	1	49
3	2	201017646652	2.607	1	26	1	3	49
3	1	201017646745	5.214	3	26	1	1	49
3	5	201017646789	57.352	3	26	1	3	49
3	6	201017647011	130.345	2	26	1	3	49
3	2	201017647593	2.607	2	26	1	3	49
3	1	201017647753	5.214	2	29	2	1	49
3	1	201017647753	5.214	5	26	1	1	49
3	2	201017648189	2.607	2	26	1	3	49
3	4	201017648344	297.187	2	26	1	1	49
