REGION	STRATUM	PMAKE	PBODYTYP	PSP_USE	PEM_USE	PTRAILER	PFIRE	PVEH_SEV	PTOWED	PROLLOVR	PCARGTYP	PHAZPLAC	PHAZ_REL	PTYPE	PROLINLOC	PHAZ_INV	PHAZ_CNO	PVIN	PMODELYR	CASENUM	WEIGHT	PCARIDNO	PHAZ_ID	PIMPACT	PJ	PMODEL	PNUMOCCS	POCCINVL	PREL_RWY	PSU	PVEHNO
1	4	6	49	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	2007	200910785146	308.859	000000000	0	4	1	999	0	0	99	3	3
1	4	49	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	2000	200910785146	308.859	000000000	0	4	1	399	0	0	99	3	4
1	4	34	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	WBAVC735X7KP	2007	200910785313	308.418	000000000	0	1	4	34	0	0	7	3	1
1	1	14	20	0	0	0	0	9	1	0	0	0	0	1	0	1	0	4M2DV11WXPDJ	1993	200910785663	4.783	000000000	0	3	10	443	0	0	7	3	1
1	1	6	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	2C3KA53GX6H3	2006	200910785669	4.783	000000000	0	99	10	51	0	0	99	3	1
1	1	59	4	0	0	0	0	9	2	0	0	0	0	1	0	1	0	JT8UF11E0N01	1992	200910785669	4.783	000000000	0	3	10	32	0	0	99	3	2
1	1	49	6	0	0	0	0	9	1	0	0	0	0	1	0	1	0	4T1VK12W2NU0	1992	200910785669	4.783	000000000	0	99	10	40	0	0	99	3	3
1	4	20	20	0	0	0	0	9	1	0	0	0	0	1	0	1	0	1GNDX03E9XD3	1999	200910785731	310.913	000000000	0	3	10	442	0	0	7	3	1
1	4	59	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	JT8BH28F1W01	1998	200910785858	306.041	000000000	0	1	21	32	0	0	7	3	1
1	4	49	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	2T1BR30E27C7	2007	200910785870	308.386	000000000	0	3	7	32	0	0	99	3	1
1	4	37	2	0	0	0	0	9	1	0	0	0	0	1	0	1	0	1HGCS22858A0	2008	200910785917	307.888	000000000	0	3	8	32	0	0	99	3	1
1	2	52	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	4A3AJ56G9SE0	1995	200910786472	2.491	000000000	0	3	1	34	0	0	7	3	1
1	2	35	4	0	0	0	0	9	2	0	0	0	0	1	0	1	0	1N4AL11DX2C1	2002	200910786505	2.491	000000000	0	1	1	47	0	0	99	3	1
1	2	6	6	0	0	0	0	9	1	0	0	0	0	1	0	1	0	3C8FY4BB61T5	2001	200910786505	2.491	000000000	0	4	1	52	0	0	99	3	2
1	2	2	14	0	0	0	0	9	1	0	0	0	0	1	0	1	0	1J8HG48K36C1	2006	200910786505	2.491	000000000	0	1	1	406	0	0	99	3	3
1	1	20	20	0	0	0	0	9	1	0	0	0	0	1	0	1	0	1GNDM19W7XB1	1999	200910786686	5.056	000000000	0	4	7	441	0	0	99	3	1
1	4	12	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	1FAFP70V0881	2008	200910787133	307.888	000000000	0	1	8	16	0	0	99	3	1
1	6	14	20	0	0	0	0	9	1	0	0	0	0	1	0	1	0	4M2DV11W6RDJ	1994	200911159138	121.593	000000000	0	12	17	443	0	0	7	4	1
1	4	59	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	JTHBK2624720	2007	200911159378	313.116	000000000	0	3	2	35	0	0	7	4	1
1	4	12	31	0	0	0	0	9	1	0	0	0	0	1	0	1	0	1FTCF15N6PKB	1993	200911159462	305.288	000000000	0	11	7	481	0	0	5	4	1
1	4	55	3	0	0	0	0	9	1	0	0	0	0	1	0	1	0	KMHCF35C03U2	2003	200911159473	313.116	000000000	0	3	1	36	0	0	7	4	1
1	4	55	14	0	0	0	0	9	1	0	0	0	0	1	0	1	0	KM8SC13D94U7	2004	200911159509	313.116	000000000	0	14	1	401	0	0	7	4	1
1	1	6	20	0	0	0	0	6	2	0	0	0	0	1	0	1	0	1C8GP44311B2	2001	200911159575	121.593	000000000	0	1	17	441	0	0	6	4	1
1	4	14	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	1MEFM50S7WG6	1998	200911159585	296.808	000000000	0	4	11	17	0	0	7	4	1
1	4	98	64	0	0	0	0	9	1	0	7	0	0	2	0	1	0	49HAADBV27DX	2007	200911159821	298.504	999999999	0	1	6	808	1	1	1	4	1
1	4	37	14	0	0	0	0	9	1	0	0	0	0	1	0	1	0	JHLRD1860YC0	2000	200911160034	313.116	000000000	0	11	3	402	0	0	7	4	1
1	4	2	14	0	0	0	0	9	1	0	0	0	0	1	0	1	0	1J4FA39SX5P3	2005	200911160189	313.116	000000000	0	14	2	401	0	0	7	4	1
1	4	7	20	0	0	0	0	9	1	0	0	0	0	1	0	1	0	2B4GH2534PR3	1993	200911160382	364.78	000000000	0	3	17	442	0	0	7	4	1
1	4	37	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	JHMCD5630VC0	1997	200911161065	305.288	000000000	0	13	7	32	0	0	5	4	1
1	6	7	31	0	0	0	0	6	2	0	0	0	0	1	0	1	0	1D7HU18N42S6	2002	200911161275	143.512	000000000	0	14	4	482	0	0	2	4	1
