OBJCONT	STRATUM	CASENUM	WEIGHT	E_ACTION	EVENTNUM	GAD	OBJGAD	PJ	PSU	REGION	VEHNUM
158	6	200910422967	115.047	3	1	2	98	9	2	1	1
137	6	200910422967	115.047	3	2	99	98	9	2	1	1
2	4	200910422970	287.619	5	1	2	3	9	2	1	1
3	6	200910422974	115.047	5	1	4	1	9	2	1	2
2	6	200910422974	115.047	5	2	4	1	9	2	1	1
135	6	200910422976	115.047	3	1	1	98	9	2	1	1
101	6	200910422976	115.047	1	2	0	98	9	2	1	1
2	6	200910422980	115.047	5	1	4	1	9	2	1	1
140	5	200910422981	57.524	3	1	1	98	9	2	1	1
145	5	200910422981	57.524	3	2	99	98	9	2	1	1
145	5	200910422981	57.524	3	3	99	98	9	2	1	1
158	4	200910422982	287.619	3	1	1	98	9	2	1	1
2	4	200910422988	287.619	4	1	4	1	9	2	1	1
135	4	200910422993	287.619	3	1	1	98	9	2	1	1
137	1	200910422995	57.524	3	1	1	98	9	2	1	1
101	1	200910422995	57.524	1	2	0	98	9	2	1	1
137	1	200910422995	57.524	3	3	99	98	9	2	1	1
137	1	200910422995	57.524	3	4	99	98	9	2	1	1
137	1	200910422995	57.524	3	5	99	98	9	2	1	1
2	6	200910422996	115.047	4	1	1	2	9	2	1	1
2	2	200910422998	57.524	4	1	3	2	9	2	1	1
135	2	200910422998	57.524	3	2	2	98	9	2	1	1
2	4	200910423009	269.56	5	1	4	1	10	2	1	1
145	1	200910423010	89.853	3	1	3	98	10	2	1	1
124	4	200910423026	298.606	2	1	1	98	1	2	1	1
158	6	200910423030	147.841	3	1	1	98	6	2	1	1
124	4	200910423031	295.682	2	1	1	98	6	2	1	1
158	5	200910423034	49.28	3	1	2	98	6	2	1	1
140	1	200910423038	49.28	3	1	1	98	6	2	1	1
2	4	200910423046	298.606	4	1	1	2	2	2	1	1
141	4	200910423046	298.606	3	2	99	98	2	2	1	2
2	5	200910423047	81.438	4	1	1	4	2	2	1	1
2	4	200910423049	323.32	4	1	3	3	4	2	1	1
2	6	200910423063	135.73	4	1	1	4	1	2	1	1
2	4	200910423069	298.606	4	1	2	3	3	2	1	1
2	6	200910423076	135.73	4	1	3	2	3	2	1	1
136	6	200910423076	135.73	3	2	2	98	3	2	1	2
141	6	200910423078	135.73	3	1	1	98	2	2	1	1
140	6	200910423078	135.73	3	2	99	98	2	2	1	1
2	5	200910423085	49.28	4	1	1	4	6	2	1	1
3	5	200910423085	49.28	4	2	1	4	6	2	1	2
2	6	200910423087	147.841	4	1	1	4	6	2	1	1
2	1	200910423088	49.28	4	1	1	3	6	2	1	1
138	4	200910423089	295.682	3	1	6	98	6	2	1	1
124	3	200910423090	49.28	2	1	1	98	6	2	1	1
2	5	200910423094	49.28	4	1	1	1	6	2	1	1
2	4	200910423111	269.56	5	1	4	1	10	2	1	1
145	5	200910423112	81.438	3	1	1	98	1	2	1	1
2	1	200910423118	27.146	4	1	1	1	1	2	1	1
135	1	200910423118	27.146	3	2	4	98	1	2	1	1
2	5	200910423122	81.438	4	1	1	2	3	2	1	1
137	3	200910423126	53.887	3	1	2	98	4	2	1	1
