MACTION	REGION	STRATUM	CASENUM	WEIGHT	PERNO	PJ	PSU
7	2	3	200913531608	19.051	1	2	11
21	2	3	200913531744	19.051	1	5	11
99	2	3	200913531787	19.051	1	3	11
98	2	3	200913531797	19.051	1	5	11
0	2	3	200913531900	19.051	1	6	11
0	2	6	200913531917	133.355	1	5	11
8	2	3	200913532026	19.051	1	2	11
22	2	3	200913532256	19.051	1	2	11
22	2	3	200913532424	19.051	1	1	11
10	2	3	200913532453	19.051	1	2	11
0	2	3	200913532634	19.051	1	2	11
7	2	3	200913532743	19.051	1	6	11
0	2	3	200913532939	19.051	1	2	11
0	2	3	200913532944	19.051	1	5	11
22	2	3	200913533054	19.051	1	1	11
27	2	3	200913533294	19.051	1	1	11
21	2	3	200913533508	19.051	1	1	11
22	2	3	200913533508	19.051	1	1	11
99	2	3	200913533718	19.051	1	1	11
98	2	3	200914059328	12.211	1	5	12
22	2	3	200914060565	12.211	1	5	12
0	2	4	200914061511	308.827	1	1	12
21	2	3	200914061692	12.211	1	5	12
0	2	3	200914061699	12.211	1	5	12
21	2	3	200914062085	18.908	1	1	12
21	2	3	200914062204	83.685	1	14	12
98	2	3	200914062351	18.908	1	2	12
0	2	4	200914063123	308.827	1	1	12
0	2	4	200914063227	308.827	1	1	12
0	2	4	200914063279	308.827	1	3	12
22	2	3	200914063383	12.211	1	5	12
0	2	3	200914063420	18.908	1	1	12
7	2	3	200914063457	20.788	1	9	12
7	2	3	200914063747	18.908	1	1	12
0	2	3	200914063846	12.211	1	5	12
0	2	3	200914064599	83.685	1	14	12
0	2	3	200914064812	20.788	1	9	12
27	2	3	200914065334	20.788	1	9	12
21	2	3	200914065401	18.908	1	4	12
22	2	3	200914065401	18.908	1	4	12
0	2	2	200914100679	4.176	1	1	74
27	2	3	200914733756	38.967	1	3	13
0	2	6	200914733990	183.373	1	7	13
0	2	4	200914734346	311.734	1	5	13
0	2	3	200914734494	38.967	1	1	13
99	2	3	200914734495	38.967	1	1	13
22	2	3	200914734528	38.967	1	6	13
0	2	3	200914734648	38.967	1	1	13
7	2	3	200914734865	38.967	1	6	13
29	2	3	200914734929	38.967	1	1	13
10	2	3	200914735030	38.967	1	5	13
99	2	3	200914735043	38.967	1	1	13
0	2	3	200914735210	38.967	1	1	13
0	2	3	200914735317	38.967	1	1	13
22	2	4	200914735510	311.734	1	6	13
7	2	4	200914735589	311.734	1	5	13
7	2	3	200914735720	38.967	1	1	13
10	2	3	200914735720	38.967	1	1	13
0	2	3	200914735734	38.967	1	1	13
29	2	3	200914735894	38.967	1	1	13
7	2	3	200914735940	38.967	1	6	13
0	2	3	200914736017	38.967	1	2	13
0	2	3	200914736040	38.967	1	2	13
0	2	3	200914736040	38.967	2	2	13
10	2	3	200914736310	38.967	1	1	13
7	2	3	200914736384	38.967	1	2	13
0	2	3	200914736425	38.967	1	1	13
98	2	3	200914736542	38.967	1	5	13
0	2	3	200914736548	38.967	1	1	13
0	2	4	200914736558	311.734	1	1	13
0	2	4	200914736558	311.734	2	1	13
7	2	3	200914736559	38.967	1	5	13
7	2	3	200914736657	38.967	1	1	13
7	2	3	200914736783	38.967	1	6	13
7	2	3	200914736795	38.967	1	6	13
0	2	3	200914736819	38.967	1	1	13
7	2	3	200914736820	38.967	1	1	13
8	2	3	200914736820	38.967	1	1	13
7	2	3	200914737057	38.967	1	3	13
7	2	3	200914737093	38.967	1	5	13
0	2	3	200914737309	38.967	1	1	13
0	2	3	200914737366	38.967	1	2	13
0	2	3	200914737520	38.967	1	6	13
