CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	MVIOLATN
201110429758	1	27.146	1	1	2	2	3	29
201110429758	1	27.146	1	1	2	2	3	71
201110429758	1	27.146	1	1	2	2	3	83
201110429759	1	27.146	1	2	1	2	3	46
201110429759	2	27.146	1	2	1	2	3	0
201110429761	1	54.292	1	5	1	2	3	0
201110429761	2	54.292	1	5	1	2	3	0
201110429764	1	27.146	1	2	1	2	3	23
201110429764	2	27.146	1	2	1	2	3	0
201110429765	1	27.146	1	2	1	2	3	12
201110429765	1	27.146	1	2	1	2	3	52
201110429765	2	27.146	1	2	1	2	3	0
201110429768	1	108.584	1	6	1	2	3	0
201110429771	1	217.168	1	4	1	2	3	0
201110429771	2	217.168	1	4	1	2	3	0
201110429774	1	27.146	1	2	1	2	3	0
201110429774	2	27.146	1	2	1	2	3	0
201110429780	1	217.168	1	4	3	2	3	0
201110429780	2	217.168	1	4	3	2	3	0
201110429783	1	49.280305	1	5	6	2	3	37
201110429783	2	49.280305	1	5	6	2	3	0
201110429784	1	246.401525	1	4	6	2	3	0
201110429784	2	246.401525	1	4	6	2	3	71
201110429786	1	98.56061	1	6	6	2	3	0
201110429786	2	98.56061	1	6	6	2	3	0
201110429793	1	246.401525	1	4	6	2	3	0
201110429793	2	246.401525	1	4	6	2	3	0
201110429795	1	49.280305	1	1	6	2	3	0
201110429795	2	49.280305	1	1	6	2	3	0
201110429797	1	49.280305	1	2	6	2	3	0
201110429801	1	98.56061	1	6	6	2	3	0
201110429803	1	246.401525	1	4	6	2	3	0
201110429804	1	98.56061	1	6	6	2	3	0
201110429805	1	53.88671	1	5	4	2	3	0
201110429809	1	98.56061	1	6	6	2	3	0
201110429813	1	49.280305	1	1	6	2	3	49
201110429813	2	49.280305	1	1	6	2	3	23
201110429814	1	98.56061	1	6	6	2	3	0
201110429814	2	98.56061	1	6	6	2	3	0
201110429818	1	98.56061	1	6	6	2	3	0
201110429850	1	108.584	1	6	3	2	3	0
201110429850	2	108.584	1	6	3	2	3	0
201110429856	1	27.146	1	1	1	2	3	0
201110429857	1	89.85326	1	5	10	2	3	12
201110429857	1	89.85326	1	5	10	2	3	23
201110429857	1	89.85326	1	5	10	2	3	52
201110429857	2	89.85326	1	5	10	2	3	0
201110429859	1	89.85326	1	5	10	2	3	0
201110429859	2	89.85326	1	5	10	2	3	0
201110429861	1	27.146	1	1	1	2	3	69
201110429862	1	89.85326	1	6	10	2	3	0
201110429862	2	89.85326	1	6	10	2	3	0
201110429867	1	107.77342	1	6	4	2	3	2
201110429868	1	217.168	1	4	1	2	3	0
201110429870	1	27.146	1	1	1	2	3	0
201110429873	1	49.280305	1	5	6	2	3	71
201110429873	2	49.280305	1	5	6	2	3	0
201110429873	3	49.280305	1	5	6	2	3	0
201110429873	4	49.280305	1	5	6	2	3	0
201110429876	1	246.401525	1	4	6	2	3	0
201110429876	2	246.401525	1	4	6	2	3	0
201110429879	1	98.56061	1	6	6	2	3	0
201110429890	1	217.168	1	4	3	2	3	0
201110429895	1	246.401525	1	4	6	2	3	0
201110429896	1	89.85326	1	6	10	2	3	19
201110429896	1	89.85326	1	6	10	2	3	69
201110429898	1	89.85326	1	6	10	2	3	23
201110429901	1	269.55978	1	4	10	2	3	0
201110429904	1	49.280305	1	5	6	2	3	3
201110429904	1	49.280305	1	5	6	2	3	7
201110429904	2	49.280305	1	5	6	2	3	0
201110429907	1	107.77342	1	6	4	2	3	0
201110429907	2	107.77342	1	6	4	2	3	0
201110429908	1	98.56061	1	6	6	2	3	0
201110429909	1	215.54684	1	4	4	2	3	74
201110429909	1	215.54684	1	4	4	2	3	79
201110429910	1	246.401525	1	4	6	2	3	0
201110429928	1	108.584	1	6	3	2	3	23
201110429928	2	108.584	1	6	3	2	3	0
201110429931	1	217.168	1	4	3	2	3	0
201110429931	2	217.168	1	4	3	2	3	0
201110429940	1	54.292	1	5	1	2	3	29
201110429940	1	54.292	1	5	1	2	3	59
201110429940	2	54.292	1	5	1	2	3	0
201110429942	1	108.584	1	6	1	2	3	22
201110429942	1	108.584	1	6	1	2	3	74
201110429951	1	246.401525	1	4	6	2	3	0
201110429951	2	246.401525	1	4	6	2	3	0
201110429952	1	269.55978	1	4	10	2	3	95
201110429955	1	98.56061	1	6	6	2	3	46
201110429955	2	98.56061	1	6	6	2	3	0
201110429957	1	269.55978	1	4	10	2	3	0
201110429957	2	269.55978	1	4	10	2	3	0
201110429964	1	108.584	1	6	2	2	3	0
201110429984	1	54.292	1	5	2	2	3	0
201110429985	1	27.146	1	3	2	2	3	0
201110429989	1	27.146	1	2	1	2	3	52
201110429989	1	27.146	1	2	1	2	3	69
201110429989	2	27.146	1	2	1	2	3	0
201110429994	1	108.584	1	6	1	2	3	23
201110429995	1	217.168	1	4	1	2	3	0
201110429995	2	217.168	1	4	1	2	3	95
201110430000	1	108.584	1	6	1	2	3	11
201110430000	1	108.584	1	6	1	2	3	19
201110430000	1	108.584	1	6	1	2	3	72
201110430006	1	108.584	1	6	3	2	3	0
201110430006	2	108.584	1	6	3	2	3	0
201110430007	1	54.292	1	5	3	2	3	0
201110430008	1	217.168	1	4	3	2	3	0
201110430013	1	246.401525	1	4	6	2	3	0
201110430013	2	246.401525	1	4	6	2	3	0
201110430014	1	98.56061	1	6	6	2	3	0
201110430020	1	98.56061	1	6	6	2	3	0
