CASENUM	VEH_NO	PER_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	MSAFEQMT
201111189300	0	1	13.0465	1	3	3	4	3	1
201111189373	0	1	13.0465	1	3	2	4	3	1
201111189417	0	1	13.0465	1	3	1	4	3	1
201111189426	0	1	13.0465	1	3	2	4	3	1
201111189779	0	1	13.0465	1	3	3	4	3	1
201111189925	0	1	13.0465	1	3	2	4	3	1
201111189998	0	1	13.0465	1	3	2	4	3	1
201111190462	0	1	13.0465	1	3	2	4	3	1
201111190947	0	1	13.0465	1	1	2	4	3	1
201111520657	0	1	11.046	1	3	3	5	2	1
201111520675	0	1	16.07193	1	3	5	5	2	2
201111520691	0	1	11.046	1	3	2	5	2	1
201111520771	0	1	194.74098	1	4	39	5	2	1
201111520791	0	1	16.07193	1	3	5	5	2	1
201111521479	0	1	16.45854	1	3	8	5	2	1
201111521604	0	1	11.046	1	3	2	5	2	2
201111521751	0	1	97.37049	1	2	51	5	2	1
201111521845	0	1	11.046	1	3	2	5	2	1
201111522151	0	1	11.046	1	3	3	5	2	1
201111522213	0	1	16.07193	1	3	5	5	2	8
201111522221	0	1	230.41956	1	4	8	5	2	1
201111522311	0	1	225.00702	1	4	5	5	2	1
201111522421	0	1	11.046	1	3	1	5	2	1
201111522573	0	1	226.443	1	4	3	5	2	1
201111522815	0	1	5.523	1	2	3	5	2	9
201111523877	0	1	30.70788	1	3	22	5	2	1
201111524190	0	1	97.37049	1	3	51	5	2	1
201111524617	0	1	22.42338	1	3	16	5	2	1
201112003674	0	1	11.62076	1	3	14	6	1	1
201112004089	0	1	14.820011	1	3	20	6	1	1
201112004103	0	1	8.941356	1	3	11	6	1	1
201112004106	0	1	8.941356	1	1	11	6	1	8
201112004110	0	1	13.8125	1	3	2	6	1	1
201112004408	0	1	11.62076	1	3	14	6	1	8
201112416722	0	1	61.54734	1	3	51	8	2	1
201112416802	0	1	58.585786	1	3	47	8	2	1
201112416828	0	1	12.846537	1	3	2	8	2	1
201112417035	0	1	28.382196	1	3	15	8	2	1
201112417192	0	1	28.382196	1	3	15	8	2	8
201112417291	0	1	12.434995	1	3	4	8	2	3
201112417501	0	1	61.54734	1	3	51	8	2	8
201112417539	0	1	98.85531	1	3	118	8	2	1
201112417748	0	1	28.382196	1	3	15	8	2	8
201112417750	0	1	28.382196	1	3	15	8	2	1
201112417804	0	1	12.846537	1	3	2	8	2	1
201112417840	0	1	28.382196	1	3	15	8	2	1
201112417858	0	1	99.479597	1	1	69	8	2	8
201112417877	0	1	17.302846	1	3	5	8	2	1
201112417979	0	1	197.71062	1	4	118	8	2	1
201112417995	0	1	28.382196	1	3	15	8	2	8
201112418108	0	1	58.585786	1	3	47	8	2	8
201112418176	0	1	61.54734	1	3	51	8	2	1
201112418203	0	1	225.772145	1	4	33	8	2	1
201112418341	0	1	28.382196	1	3	15	8	2	1
201112418345	0	1	28.382196	1	3	15	8	2	1
201112418347	0	1	28.382196	1	3	15	8	2	1
201112418349	0	1	12.434995	1	3	4	8	2	8
