CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	PVE_Forms	PNUMOCCS	PMONTH	PHOUR	PMINUTE	PHARM_EV	PMAN_COLL	PTYPE	PHIT_RUN	PMAKE	PMODEL	PBODYTYP	PMODYEAR	PVIN	PTRAILER	PMCARR_I1	PMCARR_I2	PMCARR_ID	PGVWR	PV_CONFIG	PCARGTYP	PHAZ_INV	PHAZPLAC	PHAZ_ID	PHAZ_CNO	PHAZ_REL	PBUS_USE	PSP_USE	PEM_USE	PIMPACT1	PIMPACT2	PVEH_SEV	PTOWED	PM_HARM	PFIRE
201110701863	1	224.172	1	4	1	3	1	1	3	2	22	28	14	0	2	0	12	16	4	2001	2FAFP71W11X1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	2	2	8	1	14	0
201110701971	3	49.74476	1	5	4	3	1	2	0	2	18	13	12	6	3	0	12	421	15	1990	1FMEU15H8LLA	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	1	14	0
201110702056	2	2.4908	1	2	1	3	1	1	0	2	14	55	14	0	2	0	23	881	63	2002	1GDM7C1C12J5	0	77	777777777	77777777777	3	1	98	1	0	0	0	0	0	0	0	6	6	8	1	12	0
201110702107	2	224.814301	1	4	10	3	1	1	0	3	10	40	14	0	2	0	37	31	4	2003	JHMES96653S0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	5	5	8	1	14	0
201110702217	1	4.783283	1	2	10	3	1	1	2	3	13	45	14	0	2	0	12	461	21	1999	1FTNE2420XHB	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	8	1	14	0
201110702224	3	43.720116	1	5	21	3	1	2	0	2	15	10	12	6	2	0	49	402	14	2008	JTMBD33V0860	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	8	1	14	0
201110702224	4	43.720116	1	5	21	3	1	2	0	2	15	10	12	6	2	0	49	399	4	2000	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	3	3	8	1	14	0
201110702372	1	223.85142	1	4	4	3	1	1	0	3	11	20	14	0	2	0	49	40	4	2011	4T1BF3EK6BU7	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	3	3	8	1	14	0
201110702436	2	218.60058	1	4	21	3	1	1	0	3	1	30	14	0	3	0	41	35	4	2000	JM1BJ2239Y01	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	1	14	0
201110702486	2	224.172	1	4	1	3	1	1	0	3	20	37	14	0	3	0	35	399	9	1999	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	8	1	14	0
201110702502	2	101.11004	1	6	7	3	1	1	0	3	0	15	14	0	3	0	35	43	4	2009	3N1AB61E79L6	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	8	1	14	0
201110702532	2	221.36985	1	4	13	3	1	1	0	3	16	0	14	0	3	0	37	32	2	1999	1HGCG3158XA0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	7	8	1	14	0
