200710416013 2 0 2  414  269.43
200710416014 1 0 2  416  107.77
200710416019 1 0 2  413   53.89
200710416024 1 0 2  213   27.15
200710416024 2 0 2  213   27.15
200710416029 1 0 2  115   54.29
200710416036 1 0 2  114  244.31
200710416036 2 0 2  114  244.31
200710416038 1 4 2  112   27.15
200710416038 2 3 2  112   27.15
200710416039 1 0 2  113   27.15
200710416040 1 0 2  115   54.29
200710416040 2 0 2  115   54.29
200710416041 1 0 2  116  108.58
200710416048 1 0 2  211   27.15
200710416048 2 0 2  211   27.15
200710416058 1 0 2  914  230.10
200710416058 2 0 2  914  230.10
200710416060 1 0 2  911   57.52
200710416061 1 0 2  911   57.52
200710416061 2 0 2  911   57.52
200710416062 1 0 2  913   57.52
200710416062 2 0 2  913   57.52
200710416062 3 0 2  913   57.52
200710416070 1 0 2  314  244.31
200710416070 2 0 2  314  244.31
200710416074 1 0 2  414  269.43
200710416074 2 0 2  414  269.43
200710416075 1 0 2  416  107.77
200710416077 1 0 2  415   53.89
200710416077 2 0 2  415   53.89
200710416082 1 3 2 1016   89.85
200710416083 1 0 2 1016   89.85
200710416084 1 0 2 1016   89.85
200710416084 2 0 2 1016   89.85
200710416085 1 0 2 1014  269.56
200710416093 150 2  614  246.40
200710416097 1 0 2  615   49.28
200710416097 2 0 2  615   49.28
200710416098 1 0 2  616   98.56
200710416100 1 0 2  615   49.28
200710416102 1 0 2  616   98.56
200710416104 1 0 2  614  246.40
200710416107 1 0 2  616   98.56
200710416107 2 0 2  616   98.56
200710416110 1 0 2  614  246.40
200710416110 250 2  614  246.40
200710416113 1 0 2  613   49.28
200710416113 250 2  613   49.28
200710416116 1 0 2  616   98.56
200710416119 1 0 2  612   49.28
200710416119 2 0 2  612   49.28
200710416119 3 0 2  612   49.28
200710416119 4 0 2  612   49.28
200710416119 5 4 2  612   49.28
200710416122 150 2  214  244.31
200710416127 1 0 2  414  269.43
200710416132 1 0 2  414  269.43
200710416132 2 0 2  414  269.43
200710416136 1 0 2 1015   89.85
200710416149 1 0 2  316  108.58
200710416150 1 0 2  313   27.15
200710416168 1 0 2 1015   89.85
200710416172 1 0 2 1014  269.56
200710416172 2 0 2 1014  269.56
200710416175 1 0 2 1014  269.56
200710416176 1 0 2 1015   89.85
200710416182 1 0 2  414  269.43
200710416182 2 0 2  414  269.43
200710416184 1 0 2  416  107.77
200710416184 2 0 2  416  107.77
200710416187 1 0 2  316  108.58
200710416187 2 0 2  316  108.58
200710416188 1 0 2  314  244.31
200710416188 2 0 2  314  244.31
200710416191 1 0 2  315   54.29
200710416191 2 0 2  315   54.29
200710416191 3 0 2  315   54.29
200710416191 4 0 2  315   54.29
200710416191 5 0 2  315   54.29
200710416191 650 2  315   54.29
200710416199 1 0 2 1616  106.65
200710416200 1 0 2 1615  106.65
200710416201 1 0 2 1615  106.65
200710416204 1 0 2  916  115.05
200710416204 2 0 2  916  115.05
200710416205 1 4 2  915   57.52
200710416205 2 0 2  915   57.52
200710416207 150 2  914  230.10
200710416208 1 0 2  912   57.52
200710416208 2 0 2  912   57.52
200710416209 1 0 2  915   57.52
200710416209 2 0 2  915   57.52
200710416212 1 0 2  916  115.05
200710416215 1 0 2  916  115.05
200710416215 2 0 2  916  115.05
200710416218 1 0 2  916  115.05
200710416220 1 0 2  914  230.10
200710416221 1 0 2  916  115.05
200710416227 1 0 2  211   27.15
200710416228 1 0 2  216  108.58
200710416230 1 0 2  215   54.29
200710416230 2 0 2  215   54.29
200710416232 1 0 2  616   98.56
200710416232 2 0 2  616   98.56
200710416233 1 0 2  613   49.28
200710416235 1 0 2  614  246.40
200710416237 1 3 2  616   98.56
200710416241 1 0 2  614  246.40
200710416241 2 0 2  614  246.40
200710416244 1 0 2  615   49.28
200710416253 1 0 2  314  244.31
200710416253 2 0 2  314  244.31
200710416260 1 0 2  415   53.89
200710416260 2 0 2  415   53.89
200710416264 1 0 2 1012   89.85
200710416264 2 0 2 1012   89.85
200710416265 1 0 2 1016   89.85
200710416266 1 0 2 1013   89.85
200710416267 1 0 2 1014  269.56
200710416268 1 0 2 1016   89.85
200710416268 2 0 2 1016   89.85
200710416269 1 0 2 1012   89.85
200710416269 2 0 2 1012   89.85
200710416272 1 0 2  611   49.28
200710416272 2 0 2  611   49.28
200710416272 3 0 2  611   49.28
200710416274 1 0 2  615   49.28
200710416275 1 0 2  614  246.40
200710416275 2 0 2  614  246.40
200710416289 1 0 2  914  230.10
200710416290 1 0 2  915   57.52
200710416290 2 0 2  915   57.52
200710416292 1 3 2  915   57.52
200710416294 1 0 2  916  115.05
200710416294 2 0 2  916  115.05
200710416301 195 2  314  244.31
200710416301 2 0 2  314  244.31
200710416304 1 0 2  613   49.28
200710416308 1 0 2  614  246.40
200710416309 1 0 2  615   49.28
200710416309 2 0 2  615   49.28
200710416310 1 4 2  616   98.56
200710416316 1 0 2  216  108.58
200710416317 150 2  213   27.15
200710416321 1 0 2 1015   89.85
200710416323 1 0 2 1016   89.85
200710416323 2 0 2 1016   89.85
200710416325 1 0 2 1014  269.56
200710416325 2 0 2 1014  269.56
200710416325 350 2 1014  269.56
200710416328 1 0 2  414  269.43
200710416328 2 0 2  414  269.43
200710416333 1 0 2  415   53.89
200710416333 250 2  415   53.89
200710416334 1 0 2  414  269.43
200710416348 1 0 2  315   54.29
200710416348 2 0 2  315   54.29
200710416352 1 0 2  316  108.58
200710416352 2 0 2  316  108.58
200710416357 1 0 2  311   27.15
200710416357 2 0 2  311   27.15
200710416359 1 0 2  313   27.15
200710416359 2 0 2  313   27.15
200710416362 1 0 2  316  108.58
200710416362 2 0 2  316  108.58
200710416362 3 0 2  316  108.58
200710416364 1 0 2  314  244.31
200710416375 192 2  111   27.15
200710416377 1 0 2  114  244.31
200710416382 1 0 2  111   27.15
200710416382 2 0 2  111   27.15
200710416382 3 0 2  111   27.15
200710416383 1 0 2  116  108.58
200710416383 2 0 2  116  108.58
200710416388 1 0 2  111   27.15
200710416389 1 0 2  115   54.29
200710416393 1 0 2 1012   89.85
200710416393 2 0 2 1012   89.85
200710416394 1 0 2 1016   89.85
200710416394 2 0 2 1016   89.85
200710416395 1 0 2 1015   89.85
200710416396 1 4 2 1014  269.56
200710416404 1 0 2  216  108.58
200710416404 2 0 2  216  108.58
200710416409 1 0 2  216  108.58
200710416409 2 0 2  216  108.58
200710416435 1 0 2  312   27.15
200710416435 2 0 2  312   27.15
200710416438 1 0 2  913   57.52
200710416440 1 0 2  915   57.52
200710416440 2 4 2  915   57.52
200710416440 3 0 2  915   57.52
200710416441 1 0 2  916  115.05
200710416442 1 0 2  913   57.52
200710416442 2 0 2  913   57.52
200710416443 1 0 2  913   57.52
200710416443 2 0 2  913   57.52
200710416444 1 0 2  915   57.52
